Team,Shooting
Marquette,0.4300
Kennesaw St,0.4200
Wichita St,0.4090
Purdue,0.4440
UCLA,0.3770
Kansas,0.3540
S Methodist,0.3750
Oklahoma St,0.4110
VA Tech,0.4140
Weber State,0.3930
Iowa State,0.3980
Denver,0.3950
Creighton,0.4210
St Marys,0.4130
Arizona,0.4040
Iona,0.3910
Samford,0.3880
IPFW,0.3670
Virginia,0.4250
Jacksonville,0.3890
Lehigh,0.3640
Houston,0.4090
NC-Asheville,0.3490
Rice,0.4110
Loyola-Chi,0.4030
Morehead St,0.3770
Maryland BC,0.3660
W Illinois,0.3740
Dayton,0.4100
Wake Forest,0.3640
Ohio,0.3670
Notre Dame,0.3740
Nevada,0.3720
Massachusetts Lowell,0.3600
Neb Omaha,0.3580
North Dakota,0.3810
Wofford,0.3850
Santa Clara,0.3610
St Peters,0.3750
Furman,0.3860
Indiana,0.3830
W Michigan,0.3700
Syracuse,0.3340
E Tenn St,0.3680
Gonzaga,0.3830
Utah State,0.3690
Michigan,0.3620
Winthrop,0.4040
Princeton,0.3800
Oregon,0.3550
IUPUI,0.3620
Wm & Mary,0.3370
Incarnate Word,0.3710
Arkansas St,0.3870
Bucknell,0.3790
St Fran (PA),0.3920
Vanderbilt,0.3610
Gard-Webb,0.4070
Michigan St,0.3530
NC-Grnsboro,0.4060
Ball State,0.3880
Duke,0.3640
Pepperdine,0.3750
Central Ark,0.3580
Charlotte,0.3580
High Point,0.4080
Detroit,0.3360
Canisius,0.3810
Boston Col,0.3280
Marshall,0.3810
Wright State,0.3390
Montana St,0.3620
Geo Wshgtn,0.3610
GA Southern,0.3530
Iowa,0.3560
Abilene Christian,0.3780
LA Tech,0.3500
IL-Chicago,0.3810
Villanova,0.3650
Monmouth,0.3620
Portland,0.3850
Akron,0.3820
Middle Tenn,0.4070
Evansville,0.3470
Albany,0.3620
SE Missouri,0.3490
Arkansas,0.3480
Providence,0.3570
Texas Tech,0.3100
UMKC,0.3390
Vermont,0.3450
Maryland,0.3910
Jksnville St,0.3860
Northeastrn,0.3690
N Carolina,0.3540
Auburn,0.3660
E Illinois,0.3680
E Washingtn,0.3600
Arizona St,0.3600
Wash State,0.3760
Niagara,0.3550
Central Mich,0.3660
St Johns,0.3560
La Salle,0.3530
Hofstra,0.3580
S Utah,0.3530
Illinois St,0.3600
Butler,0.3630
NW State,0.3830
USC,0.3280
Idaho,0.3600
N Dakota St,0.3580
Utah,0.3660
Air Force,0.3340
Toledo,0.3570
Florida,0.3400
Missouri St,0.3670
W Virginia,0.3480
Colgate,0.3580
N Kentucky,0.3480
Pittsburgh,0.3210
Troy,0.3450
S Dakota St,0.3650
Columbia,0.3610
Murray St,0.3620
Lipscomb,0.3610
SE Louisiana,0.3490
Kansas St,0.3510
Illinois,0.3340
NC-Wilmgton,0.3530
Louisville,0.3310
Miami (FL),0.3650
Liberty,0.3800
Harvard,0.3360
Yale,0.3520
Clemson,0.3370
Montana,0.3410
Lamar,0.3330
Elon,0.3670
Mt St Marys,0.3790
Ohio State,0.3350
Florida St,0.3460
Boise State,0.3870
Idaho State,0.3460
NC State,0.3530
Temple,0.3650
Brown,0.3380
Wisconsin,0.3370
TX Christian,0.3320
Colorado,0.3180
San Fransco,0.3520
Oral Roberts,0.3450
Washington,0.3400
Connecticut,0.3800
Baylor,0.3530
Fresno St,0.3470
Texas State,0.3440
Bradley,0.3520
W Kentucky,0.3360
Georgia St,0.3320
Boston U,0.3230
Loyola Mymt,0.3310
Kentucky,0.3330
UC Irvine,0.3440
SC Upstate,0.3340
Dartmouth,0.3690
Austin Peay,0.3520
Army,0.3490
Lg Beach St,0.3440
Campbell,0.3700
UC Davis,0.3310
Delaware St,0.3430
Cincinnati,0.3160
WI-Milwkee,0.3470
Central Conn,0.3740
Georgetown,0.3610
Prairie View,0.3230
Drexel,0.3660
St Bonavent,0.3490
LIU-Brooklyn,0.3380
N Florida,0.3360
Miss State,0.3630
San Diego,0.3540
Central FL,0.3580
Radford,0.3420
Drake,0.3220
S Florida,0.3550
Oregon St,0.3800
Colorado St,0.3420
Minnesota,0.3050
Holy Cross,0.3340
Ark Pine Bl,0.3220
BYU,0.3270
Mississippi,0.3430
Mercer,0.3810
Binghamton,0.3410
Oklahoma,0.3580
Geo Mason,0.3410
Maryland ES,0.3490
N Colorado,0.3490
TX El Paso,0.3560
Tulsa,0.3310
Wyoming,0.3150
Miss Val St,0.3450
LA Lafayette,0.3200
Saint Louis,0.3290
Richmond,0.3310
Northwestern,0.3580
Davidson,0.3450
UAB,0.3510
Hartford,0.3370
TN Martin,0.3270
Bowling Grn,0.3230
Houston Bap,0.3340
Xavier,0.3050
California,0.3370
Florida A&M,0.3470
South Dakota,0.3180
Fla Gulf Cst,0.3800
Seattle,0.3610
U Penn,0.3600
Indiana St,0.3210
N Hampshire,0.3690
Citadel,0.3370
Penn State,0.3450
AR Lit Rock,0.3360
Bryant,0.3140
Seton Hall,0.3290
Rhode Island,0.3400
Cal St Nrdge,0.3320
Belmont,0.2930
San Jose St,0.3260
E Michigan,0.3210
Presbyterian,0.3510
VCU,0.3140
LSU,0.2890
Cal Poly,0.3440
Fairfield,0.3340
Sacred Hrt,0.3280
Nicholls St,0.3190
McNeese St,0.3030
S Carolina,0.3240
Valparaiso,0.3320
N Mex State,0.3070
NJIT,0.3250
Coastal Car,0.3250
Col Charlestn,0.3320
Portland St,0.3180
Duquesne,0.3390
Stetson,0.2950
Cornell,0.3290
Stony Brook,0.3450
James Mad,0.3330
Charl South,0.3320
Marist,0.3270
NC Central,0.3320
Loyola-MD,0.3290
Rider,0.3120
Fordham,0.3220
Chattanooga,0.3330
Buffalo,0.3330
Grand Canyon,0.3020
TN State,0.3410
Texas A&M,0.3350
Manhattan,0.3270
TX-Arlington,0.3270
Norfolk St,0.3090
Siena,0.3090
App State,0.3090
TX A&M-CC,0.3070
Youngs St,0.3150
Oakland,0.3270
New Mexico,0.3330
F Dickinson,0.3200
Lafayette,0.3140
DePaul,0.2720
Quinnipiac,0.3200
Hampton,0.3160
LA Monroe,0.3020
TN Tech,0.3320
TX-Pan Am,0.3010
Longwood,0.3160
Wagner,0.3010
Pacific,0.3380
St Josephs,0.3080
Tennessee,0.3110
Old Dominion,0.3610
Florida Intl,0.2980
Tulane,0.3230
N Iowa,0.3230
E Kentucky,0.3370
Stanford,0.2820
Beth-Cook,0.3130
CS Bakersfld,0.2880
NC A&T,0.3030
GA Tech,0.3470
Utah Val St,0.3290
Hawaii,0.3240
Southern,0.2880
Georgia,0.3190
WI-Grn Bay,0.3050
E Carolina,0.3370
S Car State,0.3380
VA Military,0.3150
Alcorn State,0.3180
UNLV,0.3270
Rob Morris,0.3260
Nebraska,0.3190
Savannah St,0.3350
Alabama,0.3050
American,0.3300
North Texas,0.2880
N Arizona,0.3150
S Alabama,0.3010
Coppin State,0.3060
San Diego St,0.3330
UC Riverside,0.3420
S Illinois,0.2810
Grambling St,0.3060
Ste F Austin,0.3030
Kent State,0.2890
Fla Atlantic,0.3340
Maine,0.3240
CS Fullerton,0.3090
New Orleans,0.3120
Sac State,0.3060
Miami (OH),0.3100
Cleveland St,0.2940
Navy,0.2980
Towson,0.2880
N Illinois,0.2940
Sam Hous St,0.2850
Missouri,0.3350
Chicago St,0.3200
W Carolina,0.2970
Rutgers,0.3270
Delaware,0.2880
Jackson St,0.2880
TX Southern,0.2860
U Mass,0.2990
S Mississippi,0.2820
Memphis,0.2880
Alabama St,0.2950
Texas,0.2630
Morgan St,0.2700
SIU Edward,0.3170
Howard,0.2900
UCSB,0.2720
St Fran (NY),0.2820
Alab A&M,0.2850
TX-San Ant,0.2490
